epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,5502.53,0.26495,0.17447,0.7903,0.99407,0.99355,0.99434,0.98266,0.23148,0.14447,0.78678,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5585.03,0.26574,0.17504,0.78924,0.99302,0.99628,0.99435,0.97751,0.23042,0.14131,0.78758,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,5663.96,0.26285,0.17368,0.78788,0.99278,0.99644,0.99453,0.98145,0.22909,0.1422,0.78205,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,5743.42,0.26279,0.17109,0.79016,0.99378,0.9966,0.9945,0.98136,0.23167,0.14168,0.78496,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,5822.51,0.26513,0.17256,0.79037,0.99381,0.99596,0.9943,0.98202,0.22938,0.14307,0.78514,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5897.16,0.26182,0.17137,0.78991,0.99379,0.99697,0.99402,0.98238,0.22908,0.14377,0.78357,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,5967.52,0.26104,0.17133,0.78821,0.99295,0.99654,0.99429,0.98142,0.22673,0.14384,0.78512,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,6037.5,0.26289,0.17159,0.78927,0.99309,0.99645,0.99414,0.9809,0.22881,0.14338,0.78621,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,6107.35,0.26007,0.17088,0.78961,0.98318,0.99845,0.9941,0.98266,0.22912,0.14233,0.78414,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,6177.13,0.26058,0.17004,0.7899,0.99425,0.9975,0.99451,0.98526,0.2244,0.13793,0.7864,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,6246.7,0.25955,0.16817,0.78825,0.99379,0.9967,0.99425,0.98372,0.22634,0.1405,0.78666,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,6316.83,0.25668,0.16721,0.7875,0.99337,0.99683,0.99437,0.98186,0.22611,0.14199,0.78533,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,6386.66,0.2562,0.16554,0.78811,0.99248,0.99749,0.99434,0.9813,0.22499,0.13975,0.78586,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,6456.85,0.25349,0.16478,0.78822,0.99374,0.99662,0.99425,0.9813,0.22223,0.14107,0.78496,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,6527.41,0.25661,0.16782,0.78817,0.99401,0.9966,0.9943,0.9843,0.22118,0.14002,0.78321,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,6598.35,0.25593,0.16717,0.78873,0.9931,0.99599,0.99415,0.98447,0.22124,0.13677,0.78396,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,6669.33,0.25565,0.16547,0.78796,0.99152,0.99584,0.99435,0.98311,0.22311,0.13739,0.78566,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,6743.12,0.25492,0.16511,0.78779,0.99332,0.99663,0.9942,0.98284,0.22458,0.14017,0.78438,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,6814.55,0.25324,0.16329,0.78766,0.9935,0.99654,0.9942,0.98243,0.22331,0.1353,0.78517,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6886.24,0.25307,0.16349,0.7865,0.99344,0.99686,0.99427,0.98369,0.22387,0.13843,0.78389,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6956.58,0.25224,0.16128,0.78627,0.99365,0.99654,0.99416,0.9837,0.22307,0.13751,0.78525,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,7027.73,0.25211,0.16078,0.78853,0.99346,0.99591,0.99416,0.98312,0.22145,0.13811,0.78434,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,7099.36,0.2503,0.16071,0.78896,0.99333,0.99591,0.99416,0.98385,0.22014,0.13812,0.78232,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,7169.81,0.25226,0.16148,0.78754,0.9929,0.99587,0.99444,0.98441,0.22247,0.13691,0.78547,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,7240.54,0.2489,0.15999,0.78785,0.99268,0.99698,0.99441,0.98237,0.22154,0.13611,0.78422,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
